Date,Time,CO_GT,PT08_S1_CO,C6H6_GT,PT08_S2_NMHC,PT08_S3_NOx,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,AQI
11/3/2004,17:00:00,2.9,1383,11.2,1020,1008,135,1719,1104,9.8,67.6,0.8185,749.0470268
11/3/2004,18:00:00,4.8,1581,20.8,1319,799,151,2083,1409,10.3,64.2,0.8065,743.0587623
11/3/2004,19:00:00,6.9,1776,27.4,1488,702,172,2333,1704,9.7,69.3,0.8319,782.0330444
11/3/2004,20:00:00,6.1,1640,24.0,1404,743,165,2191,1654,9.6,67.8,0.8133,754.3940226
11/3/2004,21:00:00,3.9,1313,12.8,1076,957,136,1707,1285,9.1,64.0,0.7419,673.4440942
11/3/2004,22:00:00,1.5,965,4.7,749,1325,85,1333,821,8.2,63.4,0.6905,661.4234909
11/3/2004,23:00:00,1,913,2.6,629,1565,53,1252,552,8.2,60.8,0.6657,683.2325634
12/3/2004,00:00:00,1.7,1080,5.9,805,1254,97,1375,816,8.3,58.5,0.6438,608.8947829
12/3/2004,01:00:00,1.9,1044,6.4,829,1247,110,1378,832,7.7,59.7,0.6308,601.7621267
12/3/2004,02:00:00,1.4,988,4.1,718,1396,91,1304,692,7.1,61.8,0.6276,616.5282876
12/3/2004,03:00:00,0.8,889,1.9,574,1680,,1187,512,7.0,62.3,0.6261,601.9175941
12/3/2004,04:00:00,,831,1.1,506,1893,32,1134,384,6.1,65.9,0.6248,584.3851715
12/3/2004,05:00:00,0.6,847,1.0,501,1895,44,1155,394,6.3,65.0,0.6233,711.0931327
12/3/2004,06:00:00,0.8,927,1.8,571,1685,71,1223,487,6.8,62.9,0.6234,667.4230272
12/3/2004,07:00:00,1.4,1091,4.4,730,1387,104,1361,748,6.4,65.1,0.6316,622.4636268
12/3/2004,08:00:00,4.4,1587,17.9,1236,897,141,1900,1400,7.3,63.1,0.6499,603.3020528
12/3/2004,09:00:00,,1545,22.1,1353,767,,2058,1588,9.2,56.2,0.6561,373.0303026
12/3/2004,10:00:00,3.1,1350,14.0,1118,912,122,1712,1237,13.2,41.7,0.6320,571.6900119
12/3/2004,11:00:00,2.7,1263,11.6,1037,969,143,1598,1167,14.3,38.4,0.6243,572.7820663
12/3/2004,12:00:00,2.1,1206,10.2,986,1035,113,1537,959,15.0,36.5,0.6195,571.6065644
12/3/2004,13:00:00,2.5,1252,11.0,1016,1008,116,1593,983,16.1,34.5,0.6262,578.5524172
12/3/2004,14:00:00,2.7,1287,12.8,1078,949,123,1660,1061,16.3,35.7,0.6560,602.7007997
12/3/2004,15:00:00,2.9,1353,14.2,1122,922,126,1740,1139,15.8,37.0,0.6610,608.3524507
12/3/2004,16:00:00,2.8,1309,12.7,1073,954,120,1657,1112,15.9,37.2,0.6657,610.8963726
12/3/2004,17:00:00,2.4,1274,11.7,1041,1006,119,1610,994,16.9,34.3,0.6549,612.1555666
12/3/2004,18:00:00,3.9,1510,19.3,1277,812,149,1910,1410,15.1,39.6,0.6766,626.5640116
12/3/2004,19:00:00,3.7,1525,18.2,1246,821,145,1847,1448,14.4,43.4,0.7084,648.8555702
12/3/2004,20:00:00,6.6,1843,32.6,1610,624,170,2390,1887,12.9,50.5,0.7478,711.5776704
12/3/2004,21:00:00,4.4,1598,20.1,1299,752,149,1941,1627,12.1,53.3,0.7536,674.5830721
12/3/2004,22:00:00,3.5,1484,14.3,1127,839,139,1723,1491,11.0,59.1,0.7740,674.8152031
12/3/2004,23:00:00,5.4,1677,21.8,1346,741,134,2062,1657,9.7,64.6,0.7771,694.1678769
13/3/2004,00:00:00,2.7,1280,9.6,964,963,113,1544,1285,9.5,64.1,0.7597,655.9717248
13/3/2004,01:00:00,1.9,1196,7.4,873,1071,97,1463,1144,9.1,63.9,0.7423,653.0106331
13/3/2004,02:00:00,1.6,1184,5.4,782,1176,82,1365,1043,8.8,63.9,0.7256,649.5028387
13/3/2004,03:00:00,1.7,1172,5.4,783,1179,,1380,996,7.8,67.5,0.7173,560.1521359
13/3/2004,04:00:00,,1147,6.2,821,1132,83,1412,992,7.0,71.1,0.7158,486.2096624
13/3/2004,05:00:00,1,978,2.6,625,1420,65,1274,819,8.3,63.6,0.6982,668.6992725
13/3/2004,06:00:00,1.2,1100,2.9,646,1406,60,1268,835,7.2,67.5,0.6887,655.9934128
13/3/2004,07:00:00,1.5,1112,5.1,770,1228,77,1409,940,6.3,71.9,0.6932,629.4061507
13/3/2004,08:00:00,2.7,1336,11.8,1043,935,96,1678,1192,6.5,71.6,0.6945,597.6058654
13/3/2004,09:00:00,3.7,1408,15.1,1153,830,119,1777,1411,9.6,59.7,0.7124,615.6979399
13/3/2004,10:00:00,3.2,1447,12.9,1081,869,126,1667,1465,12.4,51.2,0.7335,637.9569421
13/3/2004,11:00:00,4.1,1542,16.1,1184,808,158,1780,1583,15.6,42.2,0.7451,668.9686897
13/3/2004,12:00:00,3.6,1451,14.0,1117,875,161,1679,1387,18.4,33.8,0.7090,650.6528595
13/3/2004,13:00:00,2.8,1328,12.3,1059,987,124,1600,1101,19.4,31.3,0.6950,654.0599232
13/3/2004,14:00:00,2,1207,8.6,924,1088,102,1488,850,18.0,34.8,0.7127,665.2389863
13/3/2004,15:00:00,2,1240,9.2,947,1049,116,1532,947,18.4,33.6,0.7042,653.7267974
13/3/2004,16:00:00,2.5,1306,10.2,987,1004,124,1554,1078,17.6,35.1,0.7012,645.3700031
13/3/2004,17:00:00,2.3,1326,10.6,1000,976,125,1602,1084,16.7,37.8,0.7117,646.3250134
13/3/2004,18:00:00,3.2,1473,15.5,1163,831,148,1779,1395,16.1,41.0,0.7451,669.4068615
13/3/2004,19:00:00,4.2,1609,19.6,1286,758,165,1922,1612,15.8,42.4,0.7569,689.360545
13/3/2004,20:00:00,4.2,1611,19.2,1274,754,161,1915,1697,15.7,44.1,0.7786,703.0075922
13/3/2004,21:00:00,4.2,1621,18.3,1247,762,159,1860,1886,15.3,46.8,0.8091,724.8085337
13/3/2004,22:00:00,3.1,1444,13.1,1089,844,143,1748,1624,14.6,48.6,0.8060,704.3734868
13/3/2004,23:00:00,2.6,1418,10.9,1010,892,130,1603,1536,14.7,49.3,0.8193,709.4655819
14/3/2004,00:00:00,2.9,1534,11.0,1013,889,129,1611,1535,13.9,53.6,0.8498,733.3359206
14/3/2004,01:00:00,2.8,1484,11.9,1045,880,119,1624,1530,14.6,51.5,0.8536,740.1302052
14/3/2004,02:00:00,2.5,1367,8.6,925,953,104,1543,1337,12.5,58.9,0.8537,726.6210827
14/3/2004,03:00:00,2.4,1344,9.7,968,921,,1620,1278,11.6,63.4,0.8674,628.9723321
14/3/2004,04:00:00,,1130,5.2,773,1130,82,1452,1051,12.1,61.1,0.8603,583.2206668
14/3/2004,05:00:00,1.2,1062,3.7,691,1272,70,1377,929,11.5,63.1,0.8533,782.0915873
14/3/2004,06:00:00,1,1076,2.5,618,1395,63,1333,872,11.6,62.2,0.8473,807.1595601
14/3/2004,07:00:00,0.9,1028,2.4,615,1384,67,1340,853,10.4,67.6,0.8530,804.8766013
14/3/2004,08:00:00,1.4,1155,4.2,722,1225,84,1414,959,11.6,62.7,0.8530,775.7944685
14/3/2004,09:00:00,1.6,1235,6.4,828,1055,83,1527,1093,12.4,60.0,0.8627,743.1643368
14/3/2004,10:00:00,2.2,1332,8.6,923,952,98,1614,1225,14.5,53.1,0.8728,745.1147581
14/3/2004,11:00:00,2.8,1445,10.9,1009,878,114,1696,1355,16.9,46.1,0.8789,755.5114684
14/3/2004,12:00:00,2.8,1416,10.7,1002,907,119,1677,1262,19.3,38.3,0.8474,746.2515029
14/3/2004,13:00:00,2,1281,7.5,880,1084,104,1525,980,21.2,31.4,0.7812,724.5878896
14/3/2004,14:00:00,1.8,1207,7.5,879,1104,102,1490,872,21.4,30.2,0.7616,713.2175964
14/3/2004,15:00:00,1.9,1258,8.2,906,1081,107,1511,900,21.9,29.0,0.7525,705.7384308
14/3/2004,16:00:00,3,1458,11.9,1045,974,129,1646,1099,22.2,28.4,0.7516,707.3728475
14/3/2004,17:00:00,2.9,1438,12.0,1051,943,128,1668,1206,21.3,30.8,0.7696,711.2666539
14/3/2004,18:00:00,2.5,1478,12.2,1055,929,121,1671,1262,19.7,36.7,0.8307,756.7157585
14/3/2004,19:00:00,4.6,1808,20.6,1312,753,157,1993,1698,18.4,41.7,0.8732,805.6392015
14/3/2004,20:00:00,5.9,1898,23.1,1381,681,173,2103,1905,17.6,46.1,0.9210,843.1161326
14/3/2004,21:00:00,3.4,1560,14.7,1140,784,146,1818,1648,16.7,49.6,0.9320,809.5564754
14/3/2004,22:00:00,2.1,1324,9.0,940,924,121,1587,1423,16.3,51.0,0.9341,802.5531239
14/3/2004,23:00:00,2.2,1349,8.8,933,933,119,1617,1349,14.7,55.9,0.9314,797.8472873
15/3/2004,00:00:00,1.8,1239,7.4,872,985,99,1547,1250,14.8,54.7,0.9164,782.9887451
15/3/2004,01:00:00,1.8,1239,6.9,853,1010,93,1543,1174,14.0,57.0,0.9094,778.6779164
15/3/2004,02:00:00,1.8,1224,7.0,855,998,88,1566,1149,13.4,61.3,0.9361,792.6332057
15/3/2004,03:00:00,1.1,1078,4.4,734,1128,,1487,1021,12.6,63.5,0.9230,696.2843189
15/3/2004,04:00:00,,1078,4.0,711,1150,71,1468,1013,12.3,65.4,0.9351,621.1204457
15/3/2004,05:00:00,1,1075,3.9,703,1156,74,1464,1010,11.9,67.4,0.9375,811.5546692
15/3/2004,06:00:00,1.4,1157,6.4,830,1030,80,1584,1083,11.4,70.5,0.9475,800.3253067
15/3/2004,07:00:00,2.2,1314,9.7,966,897,89,1710,1235,11.3,70.2,0.9401,777.7602704
15/3/2004,08:00:00,5.5,1797,25.9,1451,652,114,2323,1680,12.4,63.9,0.9170,812.4403659
15/3/2004,09:00:00,8.1,1961,36.7,1701,537,149,2665,2184,14.8,54.3,0.9076,852.6319389
15/3/2004,10:00:00,5.8,1771,26.6,1470,622,157,2262,1973,17.4,45.6,0.8993,817.8859438
15/3/2004,11:00:00,4.2,1564,20.1,1300,710,155,2029,1798,19.8,38.5,0.8801,791.7427799
15/3/2004,12:00:00,3.1,1430,14.1,1120,831,134,1783,1522,22.0,34.1,0.8904,797.930892
15/3/2004,13:00:00,2.9,1417,14.9,1146,830,119,1831,1404,23.3,32.2,0.9096,820.7675721
15/3/2004,14:00:00,2.9,1400,15.4,1162,838,111,1829,1263,23.9,30.0,0.8757,797.247963
15/3/2004,15:00:00,2.5,1317,12.1,1053,926,104,1707,1137,24.4,28.9,0.8736,800.310589
15/3/2004,16:00:00,2.3,1318,11.5,1033,950,99,1675,1068,24.4,29.4,0.8848,813.0493377
15/3/2004,17:00:00,2.8,1445,14.8,1141,857,110,1824,1252,23.8,31.3,0.9137,833.2949961
15/3/2004,18:00:00,6.1,1917,32.1,1601,631,162,2447,1843,22.5,35.4,0.9547,933.3181167
15/3/2004,19:00:00,8,2040,39.2,1754,542,187,2679,2122,20.4,42.5,1.0086,1001.390538
15/3/2004,20:00:00,6.5,1895,31.0,1573,565,165,2443,1992,18.3,52.6,1.0945,1011.179987
15/3/2004,21:00:00,4.2,1595,19.9,1294,678,145,2058,1707,16.7,57.4,1.0786,936.859477
15/3/2004,22:00:00,3.2,1439,15.3,1159,764,125,1856,1494,15.7,60.2,1.0654,909.5319917
15/3/2004,23:00:00,1.4,1142,6.9,852,1008,101,1547,1164,15.3,61.4,1.0580,911.1466687
16/3/2004,00:00:00,2.1,1304,11.1,1019,852,103,1731,1272,14.1,65.7,1.0494,877.7417705
16/3/2004,01:00:00,1.2,1074,5.4,784,1098,88,1483,1040,14.8,60.6,1.0148,889.8845094
16/3/2004,02:00:00,0.8,968,2.8,640,1320,61,1386,867,14.8,59.2,0.9879,918.9830344
16/3/2004,03:00:00,0.7,929,2.3,608,1376,,1364,826,13.6,62.1,0.9636,809.3934575
16/3/2004,04:00:00,,941,2.6,626,1316,59,1373,840,12.3,66.2,0.9450,675.5505033
16/3/2004,05:00:00,0.6,937,2.0,585,1412,52,1348,793,12.8,63.2,0.9283,880.8371541
16/3/2004,06:00:00,0.9,1017,3.5,681,1246,64,1418,870,11.2,68.5,0.9081,814.6988514
16/3/2004,07:00:00,1.3,1171,5.1,770,1162,70,1467,930,11.0,66.5,0.8705,771.2120441
16/3/2004,08:00:00,3.4,1541,16.2,1185,770,97,1889,1407,11.7,63.7,0.8719,734.6354859
16/3/2004,09:00:00,3.7,1539,19.7,1287,698,95,2055,1507,13.6,56.3,0.8743,739.9647947
16/3/2004,10:00:00,5.3,1735,25.1,1431,628,150,2211,1843,17.8,42.9,0.8672,778.0430087
16/3/2004,11:00:00,4.1,1571,20.0,1297,730,162,1973,1729,21.4,33.3,0.8417,771.1340634
16/3/2004,12:00:00,3.3,1452,18.3,1250,776,154,1868,1583,24.4,27.4,0.8231,763.3647839
16/3/2004,13:00:00,4,1579,22.3,1359,724,161,1998,1671,25.3,26.1,0.8264,781.2024238
16/3/2004,14:00:00,3.8,1466,20.4,1309,773,161,1897,1491,25.8,23.2,0.7589,723.7292367
16/3/2004,15:00:00,2.8,1280,14.6,1136,893,128,1675,1240,27.0,20.2,0.7094,669.961626
16/3/2004,16:00:00,2.9,1407,16.6,1197,905,129,1759,1313,28.2,18.6,0.7014,684.1303541
16/3/2004,17:00:00,2.9,1389,15.8,1173,898,133,1739,1363,28.0,19.1,0.7098,684.8117777
16/3/2004,18:00:00,3.4,1447,17.8,1235,859,139,1778,1296,23.9,25.7,0.7519,719.1574817
16/3/2004,19:00:00,3.9,1551,19.1,1271,800,137,1875,1432,21.3,34.8,0.8730,813.503679
16/3/2004,20:00:00,3.2,1474,15.8,1173,854,143,1776,1432,20.4,36.7,0.8704,804.6336691
16/3/2004,21:00:00,5.1,1800,24.9,1426,700,177,2106,2034,19.0,41.3,0.9007,851.4916749
16/3/2004,22:00:00,2.6,1379,13.5,1101,818,138,1710,1602,17.9,45.9,0.9342,814.6430028
16/3/2004,23:00:00,1.7,1201,9.1,943,935,117,1560,1362,16.7,48.9,0.9226,798.1767893
17/3/2004,00:00:00,1.7,1205,8.6,925,922,107,1547,1314,15.5,52.9,0.9271,783.5719465
17/3/2004,01:00:00,1.2,1072,5.4,784,1066,90,1442,1114,15.5,51.9,0.9059,782.2303939
17/3/2004,02:00:00,0.9,998,4.1,714,1169,79,1383,992,14.1,55.6,0.8910,787.4549683
17/3/2004,03:00:00,0.7,933,2.6,625,1292,,1332,884,13.1,57.9,0.8666,694.7458443
17/3/2004,04:00:00,,883,1.9,577,1396,60,1303,808,12.7,57.9,0.8447,625.5806794
17/3/2004,05:00:00,0.5,869,1.6,554,1460,40,1268,667,11.8,58.0,0.8026,766.5624177
17/3/2004,06:00:00,0.5,891,1.9,576,1417,53,1289,733,11.9,57.4,0.7978,754.9225415
17/3/2004,07:00:00,1.6,1173,7.5,878,1038,84,1556,1052,9.9,65.2,0.7956,685.653776
17/3/2004,08:00:00,4.1,1587,21.4,1334,702,108,1999,1534,11.1,60.2,0.7958,686.2688883
17/3/2004,09:00:00,6.6,1852,36.4,1696,553,127,2535,1931,14.1,50.0,0.8020,748.0556249
17/3/2004,10:00:00,4.3,1522,21.3,1331,703,134,2026,1734,17.7,40.1,0.8048,717.9556246
17/3/2004,11:00:00,2.9,1438,15.4,1161,819,135,1782,1595,21.1,33.4,0.8265,744.8258695
17/3/2004,12:00:00,2.5,1393,12.5,1067,905,142,1654,1490,24.3,28.3,0.8471,783.4375385
17/3/2004,13:00:00,2.8,1452,15.1,1152,861,153,1747,1508,25.6,25.6,0.8254,775.6134279
17/3/2004,14:00:00,2.6,1389,13.7,1108,887,123,1712,1334,25.9,25.9,0.8503,787.8851204
17/3/2004,15:00:00,2,1207,10.4,994,1013,104,1520,1045,26.8,18.7,0.6500,614.9540806
17/3/2004,16:00:00,2.9,1365,15.2,1154,940,129,1679,1221,29.3,15.8,0.6309,618.9248245
17/3/2004,17:00:00,2.5,1247,12.3,1060,1032,114,1525,1069,28.5,14.9,0.5708,563.356211
17/3/2004,18:00:00,5,1557,27.0,1478,793,158,1981,1569,25.9,16.0,0.5237,534.9431408
17/3/2004,19:00:00,7.6,1973,38.4,1737,617,194,2414,2306,23.1,26.5,0.7403,765.0993121
17/3/2004,20:00:00,6.7,1975,35.1,1667,597,182,2416,2359,20.5,38.2,0.9133,900.1149194
17/3/2004,21:00:00,5.7,1795,27.2,1485,653,180,2174,2050,19.1,42.6,0.9294,877.1556097
17/3/2004,22:00:00,2.8,1444,15.0,1150,770,136,1727,1727,17.2,44.1,0.8558,737.179468
17/3/2004,23:00:00,2.6,1488,15.7,1171,731,127,1778,1705,16.0,50.9,0.9206,775.2011159
18/3/2004,00:00:00,2.3,1371,13.0,1083,796,116,1669,1551,14.8,53.9,0.9024,754.7361045
18/3/2004,01:00:00,1.4,1161,8.1,904,947,107,1502,1240,14.3,55.4,0.8975,759.8176975
18/3/2004,02:00:00,1,1064,5.5,787,1057,88,1407,1115,14.8,52.1,0.8686,744.2311431
18/3/2004,03:00:00,0.7,970,3.6,687,1196,,1351,969,13.9,53.9,0.8501,659.5074701
18/3/2004,04:00:00,,954,2.9,645,1260,78,1334,925,11.6,61.9,0.8442,589.6193798
18/3/2004,05:00:00,0.6,931,2.5,623,1293,57,1307,828,12.0,58.9,0.8233,742.0222423
18/3/2004,06:00:00,0.7,938,3.0,650,1251,71,1333,893,10.9,62.1,0.8113,723.3411001
18/3/2004,07:00:00,1.5,1166,7.7,885,1005,85,1551,1075,10.6,63.3,0.8067,685.7668249
18/3/2004,08:00:00,4.7,1643,23.3,1384,667,124,2094,1610,11.5,60.0,0.8117,706.4020955
18/3/2004,09:00:00,6.6,1934,35.8,1682,541,151,2468,2051,14.3,50.6,0.8186,762.5325682
18/3/2004,10:00:00,4.5,1617,21.3,1333,686,150,2010,1819,17.8,40.5,0.8210,731.6099484
18/3/2004,11:00:00,2.8,1473,14.3,1127,831,152,1752,1568,20.8,34.4,0.8365,754.1027192
18/3/2004,12:00:00,2.2,1379,12.5,1068,899,139,1663,1374,23.8,28.2,0.8219,755.3725198
18/3/2004,13:00:00,2.2,1385,12.2,1056,891,133,1648,1268,24.2,28.7,0.8515,774.8411109
18/3/2004,14:00:00,2.3,1379,13.1,1087,901,126,1660,1144,25.2,24.9,0.7829,724.5958237
18/3/2004,15:00:00,2.2,1322,14.4,1129,934,128,1639,1109,27.0,17.8,0.6275,603.4931482
18/3/2004,16:00:00,2.8,1496,16.8,1205,822,169,1767,1347,27.1,23.1,0.8180,776.478698
18/3/2004,17:00:00,2.7,1409,14.5,1131,873,149,1689,1206,25.8,23.9,0.7832,734.4540281
18/3/2004,18:00:00,3.7,1513,21.5,1338,764,156,1957,1397,23.0,26.8,0.7446,706.7499511
18/3/2004,19:00:00,5.1,1667,26.4,1464,683,168,2118,1588,20.7,31.1,0.7523,715.7376076
18/3/2004,20:00:00,5.1,1667,26.0,1453,684,176,2051,1569,18.6,36.2,0.7676,724.9249283
18/3/2004,21:00:00,3.2,1430,14.1,1121,814,135,1732,1322,16.0,48.4,0.8768,763.4959005
18/3/2004,22:00:00,2.1,1333,10.3,989,885,121,1621,1194,14.5,57.8,0.9456,804.5722619
18/3/2004,23:00:00,1.7,1262,8.3,911,948,99,1545,1062,13.1,64.2,0.9606,809.811644
19/3/2004,00:00:00,2,1287,8.9,936,918,106,1606,1040,12.0,69.7,0.9735,814.2964638
19/3/2004,01:00:00,1.6,1134,6.6,840,1021,96,1501,917,11.9,71.1,0.9915,844.6264728
19/3/2004,02:00:00,0.9,999,3.6,688,1229,63,1380,594,12.5,69.3,1.0029,896.6309834
19/3/2004,03:00:00,0.7,961,2.5,622,1382,,1301,430,12.5,67.5,0.9768,824.320714
19/3/2004,04:00:00,,934,1.8,569,1440,32,1280,397,12.3,67.7,0.9665,722.6935976
19/3/2004,05:00:00,0.5,913,1.3,525,1620,28,1260,370,12.5,66.8,0.9620,984.3787702
19/3/2004,06:00:00,0.7,969,2.3,607,1373,61,1324,438,12.3,66.3,0.9487,890.5625644
19/3/2004,07:00:00,1.5,1182,6.7,845,1054,99,1539,704,12.4,64.9,0.9332,814.2741108
19/3/2004,08:00:00,4.8,1740,22.8,1372,671,157,2144,1476,13.0,61.6,0.9209,816.2211726
19/3/2004,09:00:00,6.2,1819,31.3,1582,575,166,2456,1716,13.6,58.8,0.9120,836.7893566
19/3/2004,10:00:00,4,1427,19.2,1275,701,149,1980,1398,13.9,57.1,0.9032,782.3338923
19/3/2004,11:00:00,3.3,1390,16.4,1191,759,135,1879,1268,14.5,54.4,0.8917,768.8334255
19/3/2004,12:00:00,2.8,1283,14.0,1117,813,127,1751,1188,15.5,50.1,0.8744,755.1872541
19/3/2004,13:00:00,3,1304,15.3,1157,793,122,1801,1171,16.1,47.6,0.8655,750.4139
19/3/2004,14:00:00,3.3,1364,16.7,1202,771,135,1875,1250,16.3,47.1,0.8640,757.9030935
19/3/2004,15:00:00,3.5,1410,19.0,1268,724,139,1957,1344,16.4,47.5,0.8791,772.492803
19/3/2004,16:00:00,4,1476,19.4,1280,708,147,1955,1378,16.1,50.2,0.9094,797.7147723
19/3/2004,17:00:00,4.6,1522,20.9,1320,690,158,2005,1435,16.0,50.7,0.9142,810.6126471
19/3/2004,18:00:00,4.1,1442,20.2,1301,704,146,1952,1372,15.8,50.3,0.8989,792.2381553
19/3/2004,19:00:00,4.5,1469,21.7,1344,677,144,1997,1471,15.5,50.6,0.8840,779.0116159
19/3/2004,20:00:00,3.9,1467,19.8,1292,698,138,1942,1439,15.4,51.4,0.8956,779.5186056
19/3/2004,21:00:00,4,1421,16.7,1202,748,143,1854,1429,15.2,53.1,0.9117,789.9167299
19/3/2004,22:00:00,2.2,1175,9.1,945,904,116,1604,1081,14.7,57.6,0.9573,808.4380353
19/3/2004,23:00:00,2.1,1215,8.3,912,948,109,1547,993,14.2,58.3,0.9380,798.1524283
20/3/2004,00:00:00,1.7,1127,5.8,802,1064,92,1447,837,13.8,57.9,0.9085,785.700344
20/3/2004,01:00:00,1.6,1090,5.2,773,1105,83,1429,761,13.9,55.9,0.8842,771.6418339
20/3/2004,02:00:00,1.3,1017,4.1,718,1182,81,1382,650,13.9,55.6,0.8765,781.6640219
20/3/2004,03:00:00,1.3,997,3.4,677,1252,,1359,591,13.8,55.1,0.8666,694.6332422
20/3/2004,04:00:00,,945,2.9,646,1308,55,1332,505,13.8,54.6,0.8574,617.4660714
20/3/2004,05:00:00,0.8,956,3.1,661,1260,53,1351,518,13.6,55.1,0.8560,770.7125067
20/3/2004,06:00:00,0.8,966,2.5,622,1317,67,1342,571,13.6,59.0,0.9129,841.4282742
20/3/2004,07:00:00,1.1,1064,4.3,728,1161,91,1461,842,13.5,58.4,0.8960,794.9949827
20/3/2004,08:00:00,2.1,1300,8.9,935,902,113,1623,1145,13.8,58.0,0.9083,759.6633546
20/3/2004,09:00:00,2.4,1348,10.5,998,834,102,1689,1218,14.6,53.1,0.8765,720.0204386
20/3/2004,10:00:00,2.6,1425,12.5,1068,776,107,1764,1341,15.0,52.3,0.8881,727.7616332
20/3/2004,11:00:00,2.8,1474,12.3,1061,768,113,1768,1406,15.4,52.1,0.9046,738.8085849
20/3/2004,12:00:00,2.6,1490,11.7,1039,782,108,1757,1422,16.3,50.0,0.9158,748.2722803
20/3/2004,13:00:00,2.6,1495,11.7,1040,809,105,1735,1373,17.1,47.9,0.9281,772.2876635
20/3/2004,14:00:00,2.1,1376,9.3,953,900,93,1636,1153,19.0,42.9,0.9370,795.3423292
20/3/2004,15:00:00,1.7,1305,7.6,884,980,87,1573,927,19.5,42.3,0.9476,819.6955634
20/3/2004,16:00:00,1.6,1283,6.7,844,1036,76,1539,766,19.5,42.3,0.9493,830.8810832
20/3/2004,17:00:00,2.1,1392,9.7,967,930,94,1649,941,19.1,43.8,0.9556,830.573795
20/3/2004,18:00:00,2.3,1452,12.4,1063,856,110,1774,1146,18.5,46.3,0.9744,846.648188
20/3/2004,19:00:00,3.5,1633,16.6,1199,734,136,1919,1417,17.4,51.6,1.0159,875.985263
20/3/2004,20:00:00,3.9,1625,16.4,1191,733,139,1885,1442,17.1,51.3,0.9914,852.1446933
20/3/2004,21:00:00,3.3,1535,13.7,1108,785,125,1820,1323,16.4,53.8,0.9964,846.586547
20/3/2004,22:00:00,2.3,1323,9.9,973,864,111,1712,1125,16.2,55.4,1.0132,847.9549484
20/3/2004,23:00:00,2.1,1309,8.9,937,905,97,1672,1036,15.9,57.7,1.0356,868.5868719
21/3/2004,00:00:00,2.8,1456,10.6,999,835,107,1714,1202,15.7,58.6,1.0396,861.1927532
21/3/2004,01:00:00,2.1,1300,7.4,872,941,90,1577,1054,15.1,60.9,1.0398,862.9353512
21/3/2004,02:00:00,1.6,1203,6.2,823,1004,84,1526,903,15.6,56.6,0.9951,839.729314
21/3/2004,03:00:00,1.6,1195,6.5,836,987,,1554,885,15.2,57.9,0.9941,720.8216641
21/3/2004,04:00:00,,1117,5.8,802,1029,87,1539,818,15.4,57.8,1.0021,649.8834878
